iter	Passed	Remaining
975	45449	1117
976	45498	1071
977	45544	1024
978	45587	977
979	45633	931
980	45678	884
981	45726	838
982	45775	791
983	45820	745
984	45864	698
985	45910	651
986	45958	605
987	46004	558
988	46048	512
989	46092	465
990	46138	419
991	46185	372
992	46232	325
993	46275	279
994	46321	232
995	46364	186
996	46413	139
997	46461	93
998	46508	46
999	46556	0
